Time_s;HipFlexionLT_deg;HipFlexionRT_deg;HipAbductionLT_deg;HipAbductionRT_deg;HipRotationExtLT_deg;HipRotationExtRT_deg;KneeFlexionLT_deg;KneeFlexionRT_deg;AnkleDorsiflexionLT_deg;AnkleDorsiflexionRT_deg;AnkleInversionLT_deg;AnkleInversionRT_deg;AnkleAbductionLT_deg;AnkleAbductionRT_deg;PelvisCourse_deg;PelvisPitch_deg;PelvisRoll_deg;ThighCourseLT_deg;ThighPitchLT_deg;ThighRollLT_deg;ShankCourseLT_deg;ShankPitchLT_deg;ShankRollLT_deg;FootCourseLT_deg;FootPitchLT_deg;FootRollLT_deg;ThighCourseRT_deg;ThighPitchRT_deg;ThighRollRT_deg;ShankCourseRT_deg;ShankPitchRT_deg;ShankRollRT_deg;FootCourseRT_deg;FootPitchRT_deg;FootRollRT_deg;PelvisAccelSensorX_mG;PelvisAccelSensorY_mG;PelvisAccelSensorZ_mG;ThighAccelSensorXLT_mG;ThighAccelSensorYLT_mG;ThighAccelSensorZLT_mG;ShankAccelSensorXLT_mG;ShankAccelSensorYLT_mG;ShankAccelSensorZLT_mG;FootAccelSensorXLT_mG;FootAccelSensorYLT_mG;FootAccelSensorZLT_mG;ThighAccelSensorXRT_mG;ThighAccelSensorYRT_mG;ThighAccelSensorZRT_mG;ShankAccelSensorXRT_mG;ShankAccelSensorYRT_mG;ShankAccelSensorZRT_mG;FootAccelSensorXRT_mG;FootAccelSensorYRT_mG;FootAccelSensorZRT_mG;PelvisRotX_;PelvisRotY_;PelvisRotZ_;ThighLTRotX_;ThighLTRotY_;ThighLTRotZ_;ShankLTRotX_;ShankLTRotY_;ShankLTRotZ_;FootLTRotX_;FootLTRotY_;FootLTRotZ_;ThighRTRotX_;ThighRTRotY_;ThighRTRotZ_;ShankRTRotX_;ShankRTRotY_;ShankRTRotZ_;FootRTRotX_;FootRTRotY_;FootRTRotZ_
-1.19;-16.52;17.51;-2.22;0.5386;-0.2438;0.3191;13.17;10.84;9.367;-8.683;-6.442;-1.345;0.808;0.5671;-21.96;6.169;0.9701;-21.99;-10.34;-1.284;-21.03;-23.48;-3.453;-22.44;-14.17;3.379;-21.29;23.67;0.6544;-21.54;12.85;7.929;-22.17;4.171;6.446;1123;26.86;430.2;1292;249;88.87;1354;-54.2;-21.48;474.6;31.74;1165;515.6;-85.94;-211.4;845.7;-29.79;44.43;980;956.1;1345;0.5708;0.02551;0.8148;-0.1467;-0.8066;-0.1611;0.4243;-0.6821;0.1063;-0.07068;-0.377;-0.1494;0.3128;-0.5137;0.4473;-0.07398;-0.6356;-0.1939;-0.1845;-0.2174;-0.4119
-1.18;-16.16;17.43;-1.906;-0.08747;-0.2479;0.4065;14.93;11.92;8.786;-8.418;-5.615;-1.772;0.6384;0.8329;-22.04;6.269;0.8115;-22.02;-9.881;-1.131;-21.23;-24.79;-3.307;-22.42;-16.05;2.675;-21.34;23.68;1.147;-21.94;11.82;7.663;-22.24;3.362;5.79;1117;5.371;469.7;1350;231.9;135.7;1458;-64.45;5.371;487.3;193.4;1292;816.9;-327.1;-244.1;781.3;38.57;-442.9;2178;1192;1245;0.5713;0.02545;0.8146;-0.1462;-0.8062;-0.1607;0.4318;-0.6843;0.0995;-0.07398;-0.389;-0.1468;0.3097;-0.5178;0.4505;-0.07905;-0.6401;-0.188;-0.1804;-0.2391;-0.4079
-1.17;-15.77;17.34;-1.589;-0.7182;-0.255;0.4977;16.72;13.01;8.191;-8.144;-4.783;-2.197;0.436;1.105;-22.13;6.368;0.65;-22.05;-9.399;-0.9762;-21.44;-26.1;-3.146;-22.37;-17.95;1.955;-21.38;23.69;1.642;-22.35;10.76;7.404;-22.3;2.546;5.134;1163;54.69;529.3;1437;251;71.78;1519;-168.5;21.48;439.9;92.29;1136;1144;-518.1;-387.7;1535;420.4;-451.2;1866;1417;1065;0.572;0.02466;0.8142;-0.1461;-0.8051;-0.1603;0.4397;-0.6864;0.09278;-0.07813;-0.4027;-0.144;0.3037;-0.5229;0.453;-0.08002;-0.6471;-0.1788;-0.1775;-0.2542;-0.4059
-1.16;-15.37;17.24;-1.268;-1.351;-0.2657;0.5913;18.54;14.1;7.581;-7.859;-3.949;-2.62;0.2;1.383;-22.22;6.468;0.4859;-22.08;-8.896;-0.8206;-21.66;-27.42;-2.971;-22.29;-19.86;1.217;-21.41;23.68;2.138;-22.74;9.695;7.155;-22.34;1.725;4.48;1198;148.4;518.6;1485;235.8;-25.39;1574;-126;15.14;615.7;228;1227;1740;-589.4;-21;1724;535.6;-469.2;1315;825.2;1045;0.5726;0.02332;0.814;-0.1456;-0.8031;-0.1597;0.448;-0.6885;0.08618;-0.0824;-0.4191;-0.1409;0.2962;-0.5293;0.4532;-0.08106;-0.6541;-0.1689;-0.1745;-0.2655;-0.4075
-1.15;-14.85;17.19;-0.8896;-1.963;-0.3094;0.5394;20.67;15.33;6.793;-7.424;-2.958;-3.038;-0.1372;1.711;-22.34;6.585;0.3038;-22.11;-8.264;-0.6295;-21.99;-28.93;-2.734;-22.19;-22.14;0.319;-21.65;23.75;2.53;-23.17;8.541;6.923;-22.37;0.9664;3.841;1213;202.6;463.4;1502;166;-48.83;1750;-160.6;-55.18;530.8;158.2;1249;2378;-754.9;708;1127;138.2;-672.4;1113;-92.77;926.3;0.5735;0.02197;0.8136;-0.1443;-0.8002;-0.1589;0.4569;-0.6903;0.07941;-0.08704;-0.4378;-0.1375;0.2905;-0.5342;0.4529;-0.08478;-0.6602;-0.1586;-0.1723;-0.2735;-0.4091
-1.14;-14.2;17.18;-0.4617;-2.499;-0.3916;0.3062;23.1;16.63;5.812;-6.842;-1.82;-3.428;-0.5946;2.062;-22.51;6.715;0.112;-22.14;-7.479;-0.4009;-22.45;-30.6;-2.404;-22.06;-24.76;-0.7326;-22.13;23.88;2.756;-23.62;7.353;6.728;-22.37;0.3174;3.26;1249;145.5;436;1524;86.43;6.836;1893;-233.4;-24.9;630.9;130.4;1314;2325;-608.4;852.5;777.3;-113.8;-507.3;922.9;83.5;856.9;0.5745;0.0213;0.8132;-0.1426;-0.7965;-0.159;0.4669;-0.6917;0.07318;-0.09156;-0.4594;-0.1334;0.2866;-0.5337;0.4555;-0.08765;-0.6661;-0.1477;-0.1705;-0.28;-0.4088
-1.13;-13.38;17.16;0.008461;-2.926;-0.5026;-0.09215;25.82;17.89;4.636;-6.144;-0.562;-3.774;-1.184;2.4;-22.71;6.847;-0.08236;-22.18;-6.531;-0.1314;-23.07;-32.38;-1.947;-21.91;-27.7;-1.917;-22.84;24.02;2.795;-24.04;6.179;6.582;-22.36;-0.198;2.767;1228;10.25;458.5;1452;44.43;48.83;1899;-439;-6.836;563.5;163.1;1234;1438;-190.4;-53.71;801.3;-567.4;-399.4;1208;414.1;909.7;0.5755;0.0213;0.8129;-0.1415;-0.7916;-0.1607;0.4783;-0.6926;0.06806;-0.09638;-0.4832;-0.1277;0.2869;-0.528;0.4625;-0.08851;-0.672;-0.1357;-0.1688;-0.285;-0.4091
-1.12;-12.39;17.07;0.5154;-3.229;-0.6139;-0.5714;28.78;19.01;3.278;-5.371;0.7821;-4.069;-1.911;2.685;-22.94;6.97;-0.2749;-22.27;-5.421;0.1831;-23.86;-34.24;-1.327;-21.72;-30.9;-3.206;-23.66;24.06;2.675;-24.4;5.06;6.491;-22.34;-0.5787;2.377;1112;-70.31;453.6;1313;7.324;40.04;1775;-553.7;59.08;838.9;318.4;1387;492.2;195.3;-543.5;901.9;-837.4;-542.5;747.1;46.88;718.8;0.5767;0.02179;0.8124;-0.1408;-0.7855;-0.1636;0.4911;-0.693;0.06409;-0.1009;-0.509;-0.1204;0.2976;-0.5158;0.4753;-0.08899;-0.6773;-0.1237;-0.1667;-0.2876;-0.4106
-1.11;-11.23;16.83;1.056;-3.421;-0.6808;-0.9904;31.95;19.88;1.76;-4.569;2.169;-4.305;-2.769;2.878;-23.2;7.071;-0.466;-22.43;-4.169;0.5425;-24.82;-36.15;-0.5125;-21.49;-34.32;-4.564;-24.43;23.95;2.476;-24.66;4.021;6.449;-22.31;-0.841;2.095;951.2;-103.5;439.5;1213;-52.73;45.41;1515;-404.3;100.1;940.9;275.4;1326;-399.9;371.6;-425.8;1002;-450.2;-412.1;641.6;68.85;921.9;0.578;0.02283;0.8119;-0.1404;-0.7781;-0.1668;0.5049;-0.6932;0.06092;-0.107;-0.5349;-0.1118;0.3166;-0.5022;0.4876;-0.09003;-0.681;-0.1135;-0.1655;-0.2893;-0.411
-1.1;-9.931;16.44;1.626;-3.542;-0.6538;-1.201;35.27;20.46;0.1073;-3.776;3.553;-4.476;-3.751;2.955;-23.46;7.138;-0.6613;-22.69;-2.803;0.9375;-25.97;-38.08;0.526;-21.21;-37.91;-5.953;-24.97;23.63;2.302;-24.81;3.071;6.445;-22.3;-1.011;1.917;838.4;-60.06;467.8;1163;-188;-16.11;1353;-81.54;81.05;1065;110.4;1098;-602.5;497.6;-514.2;1084;223.1;-191.9;571.3;37.11;880.4;0.5787;0.02417;0.8117;-0.1396;-0.7698;-0.169;0.5189;-0.6935;0.05793;-0.1133;-0.5606;-0.1021;0.3324;-0.4972;0.4904;-0.0918;-0.6831;-0.1059;-0.1652;-0.2904;-0.4109
