"Time,s","Hip Flexion LT,deg","Hip Flexion RT,deg","Hip Abduction LT,deg","Hip Abduction RT,deg","Hip Rotation Ext LT,deg","Hip Rotation Ext RT,deg","Knee Flexion LT,deg","Knee Flexion RT,deg","Ankle Dorsiflexion LT,deg","Ankle Dorsiflexion RT,deg","Ankle Inversion LT,deg","Ankle Inversion RT,deg","Ankle Abduction LT,deg","Ankle Abduction RT,deg","Pelvis course,deg","Pelvis pitch,deg","Pelvis roll,deg","Thigh course LT,deg","Thigh pitch LT,deg","Thigh roll LT,deg","Shank course LT,deg","Shank pitch LT,deg","Shank roll LT,deg","Foot course LT,deg","Foot pitch LT,deg","Foot roll LT,deg","Thigh course RT,deg","Thigh pitch RT,deg","Thigh roll RT,deg","Shank course RT,deg","Shank pitch RT,deg","Shank roll RT,deg","Foot course RT,deg","Foot pitch RT,deg","Foot roll RT,deg","Pelvis Accel Sensor X,mG","Pelvis Accel Sensor Y,mG","Pelvis Accel Sensor Z,mG","Thigh Accel Sensor X LT,mG","Thigh Accel Sensor Y LT,mG","Thigh Accel Sensor Z LT,mG","Shank Accel Sensor X LT,mG","Shank Accel Sensor Y LT,mG","Shank Accel Sensor Z LT,mG","Foot Accel Sensor X LT,mG","Foot Accel Sensor Y LT,mG","Foot Accel Sensor Z LT,mG","Thigh Accel Sensor X RT,mG","Thigh Accel Sensor Y RT,mG","Thigh Accel Sensor Z RT,mG","Shank Accel Sensor X RT,mG","Shank Accel Sensor Y RT,mG","Shank Accel Sensor Z RT,mG","Foot Accel Sensor X RT,mG","Foot Accel Sensor Y RT,mG","Foot Accel Sensor Z RT,mG","Pelvis Rot X,","Pelvis Rot Y,","Pelvis Rot Z,","Thigh LT Rot X,","Thigh LT Rot Y,","Thigh LT Rot Z,","Shank LT Rot X,","Shank LT Rot Y,","Shank LT Rot Z,","Foot LT Rot X,","Foot LT Rot Y,","Foot LT Rot Z,","Thigh RT Rot X,","Thigh RT Rot Y,","Thigh RT Rot Z,","Shank RT Rot X,","Shank RT Rot Y,","Shank RT Rot Z,","Foot RT Rot X,","Foot RT Rot Y,","Foot RT Rot Z,"
0.0,-2.26372,8.09026,10.8883,-12.046,-2.86834,-2.69305,60.1,13.6773,-3.58239,-4.60215,35.8549,-1.85775,-23.1915,4.841,78.1539,9.48652,-4.27396,81.1932,6.88832,6.99165,78.7181,-52.651,-2.40163,115.785,-48.9462,-68.1312,74.717,17.8916,6.76998,73.3274,4.28673,4.71173,77.7753,-0.694799,2.79894,-15.1284,-22.9416,173.343,715.353,126.975,-89.8323,-27.3479,-38.5708,-87.8929,-349.057,647.461,1359.84,88.3819,171.407,-41.5331,-216.778,844.264,-90.8162,-37.1444,-46.4041,60.5129,0.0350217,-0.616148,0.13286,-0.511479,-0.54369,-0.508385,-0.740015,-0.26018,-0.169699,-0.68758,-0.371836,-0.572972,0.529247,-0.587324,0.56499,0.628223,-0.362709,0.589302,-0.260271,0.0227814,-0.936234
0.01,-0.565479,7.50916,11.3311,-12.4656,-3.77465,-2.09991,62.263,13.8074,-5.836,-3.87466,36.797,-1.97859,-22.6185,4.48249,77.8355,9.32353,-4.51328,81.669,8.29277,7.3863,79.3289,-53.2949,-3.16612,117.746,-51.2189,-71.9402,75.0437,17.0834,7.17839,73.6203,3.3567,4.52133,77.7843,-0.857887,2.48263,62.4929,-23.9273,142.092,522.448,-30.7241,-138.68,-126.972,-99.6312,-274.425,2591.33,1648.41,2295.93,198.745,441.372,33.1703,-111.349,596.177,115.229,126.026,30.7406,175.84,0.0348461,-0.615005,0.136124,-0.502752,-0.546928,-0.516823,-0.743801,-0.258177,-0.164876,-0.702284,-0.376499,-0.548108,0.533801,-0.585807,0.560781,0.630153,-0.359469,0.585156,-0.261721,0.0201624,-0.9361
0.02,1.06219,6.92052,11.5596,-12.7573,-5.21445,-1.34652,64.057,13.8998,-6.37336,-3.15512,37.1473,-2.0792,-20.7473,3.89834,77.5785,9.19398,-4.65916,82.7433,9.58613,7.79082,80.7943,-53.6362,-4.34858,117.222,-52.546,-72.1457,75.6068,16.2733,7.58302,74.1441,2.46158,4.3783,77.7888,-0.978527,2.23916,132.815,13.1813,148.93,414.563,-126.975,-122.565,-117.205,-459.465,-669.901,1032.72,1832.01,2373.07,298.843,537.567,111.317,-9.77977,302.257,291.516,109.383,45.399,-0.949754,0.0350745,-0.614085,0.138578,-0.494199,-0.55082,-0.524424,-0.749145,-0.254793,-0.164462,-0.704772,-0.375529,-0.540617,0.538172,-0.583796,0.557302,0.631426,-0.357817,0.580152,-0.262815,0.0181556,-0.935995
0.03,2.69982,6.3302,11.6964,-12.8981,-6.9643,-0.897525,65.7164,13.9732,-5.56546,-2.46822,36.4728,-2.13181,-18.2253,3.53508,77.3886,9.07812,-4.71072,84.2008,10.8418,8.32657,82.8585,-53.7901,-5.98933,114.973,-52.9032,-69.3617,75.9272,15.5098,7.8274,74.4509,1.63153,4.22505,77.7933,-1.088,2.03314,166.023,60.0502,115.23,369.628,278.33,-109.851,-326.669,-902.848,-866.218,215.893,1501.94,2316.84,326.165,528.332,153.834,-0.48241,77.6618,210.928,137.724,140.636,123.061,0.0356708,-0.613244,0.140188,-0.485236,-0.554872,-0.531964,-0.755823,-0.25127,-0.16597,-0.698744,-0.368773,-0.548543,0.542188,-0.581421,0.55444,0.633068,-0.355196,0.576115,-0.263787,0.0164542,-0.935884
0.04,4.29311,5.71895,11.6002,-12.9029,-7.92401,-0.855802,67.3502,14.0551,-4.08945,-1.79087,34.6283,-2.15899,-16.0031,3.49755,77.2684,8.99511,-4.66045,84.9609,12.2026,8.64821,84.1042,-53.8724,-7.17802,111.764,-52.5805,-64.6947,75.9116,14.8142,7.92052,74.4302,0.857029,4.10988,77.7933,-1.17736,1.88747,184.085,134.287,92.775,377.447,383.825,-33.1783,-400.859,-819.842,-741.194,-803.755,738.294,1496.07,313.497,226.08,125.513,-57.1437,70.3204,201.163,-37.1444,123.046,37.5831,0.0366713,-0.612618,0.140861,-0.47763,-0.55832,-0.539746,-0.760015,-0.250406,-0.165855,-0.687483,-0.357156,-0.566142,0.546111,-0.578522,0.552275,0.635653,-0.351155,0.573189,-0.264575,0.0152416,-0.935767
0.05,5.84931,5.1211,11.1874,-12.7016,-7.5465,-1.25075,68.9191,14.1957,-2.40775,-1.13979,32.2317,-2.2064,-14.5973,3.81119,77.2321,8.93064,-4.52961,84.4731,13.7727,8.46502,83.7732,-53.8951,-7.28128,108.152,-51.8236,-59.3661,75.5383,14.208,7.7773,74.0718,0.106335,4.03743,77.7933,-1.29577,1.75428,145.504,129.88,82.9994,524.427,-232.379,-113.754,-297.368,-448.703,-492.694,-1236.31,351.995,1059.07,125.018,-250.017,-54.6747,-14.1653,168.433,4.42003,28.3407,128.407,33.6484,0.0378529,-0.612116,0.140628,-0.472912,-0.560265,-0.548351,-0.759446,-0.253155,-0.163526,-0.673127,-0.344003,-0.587073,0.550027,-0.574079,0.551988,0.639353,-0.345447,0.571308,-0.265605,0.0141503,-0.935579
0.06,7.39013,4.48724,10.5936,-12.2643,-6.35495,-1.76423,70.1979,14.2335,-0.81906,-0.568304,29.8997,-2.18096,-13.792,4.16755,77.2433,8.8759,-4.33282,83.2192,15.4657,7.92764,82.2838,-53.6851,-6.37125,104.452,-50.803,-53.9834,75.0965,13.5851,7.44546,73.6823,-0.56183,3.93527,77.8023,-1.41194,1.66272,85.4505,96.1925,53.7065,581.537,-313.948,-231.467,-311.042,-46.3696,-280.279,-1336.41,150.94,731.934,-139.631,-25.4155,-83.9798,-71.309,299.793,29.8095,8.32132,85.9398,-2.44223,0.0392723,-0.611674,0.139773,-0.469335,-0.561534,-0.557302,-0.754741,-0.258056,-0.161912,-0.657022,-0.33067,-0.608196,0.553769,-0.568229,0.553158,0.642623,-0.339817,0.570024,-0.266593,0.0134263,-0.93539
0.07,8.87666,3.75625,9.98205,-11.7628,-4.94513,-2.25638,70.98,14.1097,0.542674,-0.042185,27.9191,-2.19252,-13.1413,4.45919,77.2796,8.81022,-4.08533,81.7677,17.1023,7.28402,80.349,-53.0797,-4.94062,100.718,-49.5712,-48.7722,74.7108,12.8467,7.12214,73.3584,-1.18397,3.87211,77.8068,-1.52364,1.57324,12.6894,40.5295,44.9271,508.294,-438.023,-347.173,-473.624,233.904,-37.5907,-1388.69,45.9383,501.938,-215.346,311.487,14.6174,-97.6661,462.877,-58.1285,57.6462,13.1506,-15.6031,0.0409453,-0.611146,0.138547,-0.466053,-0.562099,-0.566199,-0.747516,-0.264282,-0.163113,-0.63948,-0.318125,-0.628267,0.557834,-0.562037,0.553908,0.645663,-0.334869,0.568553,-0.267561,0.0127014,-0.935195
0.08,10.2763,2.90302,9.39645,-11.3694,-3.70627,-2.66555,71.2631,13.8599,1.62005,0.462444,26.2424,-2.20582,-12.2535,4.68655,77.3048,8.76004,-3.80733,80.4809,18.6228,6.67263,78.6579,-52.042,-3.65031,97.0067,-48.1528,-43.8546,74.409,11.9938,6.97324,73.1033,-1.79183,3.82474,77.8113,-1.63758,1.49624,-37.114,14.167,33.6995,304.699,-494.667,-323.753,-643.083,361.345,126.445,-1344.72,114.249,387.655,-123.031,460.951,36.6138,-79.1152,457.056,-54.685,38.1092,-54.6966,-26.3218,0.0429089,-0.610705,0.137246,-0.462308,-0.562737,-0.574467,-0.739743,-0.271753,-0.167612,-0.62073,-0.306796,-0.646822,0.562799,-0.556153,0.553239,0.648478,-0.330421,0.566849,-0.268543,0.0120992,-0.934989
0.09,11.6443,1.97107,8.74837,-11.0504,-2.74938,-2.85757,71.0891,13.4821,2.36257,0.955133,24.7244,-2.2382,-11.0102,4.71546,77.3271,8.69618,-3.50635,79.4874,20.051,6.05829,77.5717,-50.5791,-2.85927,93.4984,-46.5457,-39.3366,74.3157,11.0236,6.98033,73.0551,-2.38381,3.77459,77.8248,-1.73588,1.40467,-89.8511,3.42095,31.2514,115.704,-480.982,-310.036,-728.016,264.676,212.875,-1317.35,264.145,339.344,70.7883,495.085,-58.1183,-43.4608,354.486,-156.243,93.2229,-82.5056,-15.6031,0.0450723,-0.610156,0.135897,-0.458625,-0.563537,-0.582232,-0.732555,-0.280475,-0.175616,-0.601251,-0.296537,-0.663945,0.568038,-0.551047,0.551014,0.650606,-0.327184,0.564519,-0.269386,0.0113745,-0.934842
