MR32 CSV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Name;T1JH_overground_WS_noraxon_1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frequency;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date;28/04/2023 09:49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time;s;Pelvic Tilt Fwd,deg;Pelvic Tilt Lat LT,deg;Pelvic Tilt Lat RT,deg;Pelvic Rotation LT,deg;Pelvic Rotation RT,deg;Hip Flexion LT,deg;Hip Flexion RT,deg;Hip Abduction LT,deg;Hip Abduction RT,deg;Hip Rotation Ext LT,deg;Hip Rotation Ext RT,deg;Thigh Tilt Fwd LT,deg;Thigh Tilt Fwd RT,deg;Thigh Tilt Med LT,deg;Thigh Tilt Med RT,deg;Thigh Rotation Ext LT,deg;Thigh Rotation Ext RT,deg;Knee Flexion LT,deg;Knee Flexion RT,deg;Knee Rotation Ext LT,deg;Knee Rotation Ext RT,deg;Knee Abduction LT,deg;Knee Abduction RT,deg;Shank Tilt Fwd LT,deg;Shank Tilt Fwd RT,deg;Shank Tilt Med LT,deg;Shank Tilt Med RT,deg;Shank Rotation Ext LT,deg;Shank Rotation Ext RT,deg;Ankle Dorsiflexion LT,deg;Ankle Dorsiflexion RT,deg;Ankle Inversion LT,deg;Ankle Inversion RT,deg;Ankle Abduction LT,deg;Ankle Abduction RT,deg;Foot Tilt Fwd LT,deg;Foot Tilt Fwd RT,deg;Foot Tilt Med LT,deg;Foot Tilt Med RT,deg;Foot Rotation Ext LT,deg;Foot Rotation Ext RT,deg;Pelvis course,deg;Pelvis pitch,deg;Pelvis roll,deg;Thigh course LT,deg;Thigh pitch LT,deg;Thigh roll LT,deg;Shank course LT,deg;Shank pitch LT,deg;Shank roll LT,deg;Foot course LT,deg;Foot pitch LT,deg;Foot roll LT,deg;Thigh course RT,deg;Thigh pitch RT,deg;Thigh roll RT,deg;Shank course RT,deg;Shank pitch RT,deg;Shank roll RT,deg;Foot course RT,deg;Foot pitch RT,deg;Foot roll RT,deg;Pelvis Accel Sensor X,mG;Pelvis Accel Sensor Y,mG;Pelvis Accel Sensor Z,mG;Thigh Accel Sensor X LT,mG;Thigh Accel Sensor Y LT,mG;Thigh Accel Sensor Z LT,mG;Shank Accel Sensor X LT,mG;Shank Accel Sensor Y LT,mG;Shank Accel Sensor Z LT,mG;Foot Accel Sensor X LT,mG;Foot Accel Sensor Y LT,mG;Foot Accel Sensor Z LT,mG;Thigh Accel Sensor X RT,mG;Thigh Accel Sensor Y RT,mG;Thigh Accel Sensor Z RT,mG;Shank Accel Sensor X RT,mG;Shank Accel Sensor Y RT,mG;Shank Accel Sensor Z RT,mG;Foot Accel Sensor X RT,mG;Foot Accel Sensor Y RT,mG;Foot Accel Sensor Z RT,mG;Pelvis Rot X,;Pelvis Rot Y,;Pelvis Rot Z,;Thigh LT Rot X,;Thigh LT Rot Y,;Thigh LT Rot Z,;Shank LT Rot X,;Shank LT Rot Y,;Shank LT Rot Z,;Foot LT Rot X,;Foot LT Rot Y,;Foot LT Rot Z,;Thigh RT Rot X,;Thigh RT Rot Y,;Thigh RT Rot Z,;Shank RT Rot X,;Shank RT Rot Y,;Shank RT Rot Z,;Foot RT Rot X,;Foot RT Rot Y,;Foot RT Rot Z,;Markers;MarkerNames
-1.12;-0.02611;0.7099;-0.7099;0.1271;-0.1271;-4.684;-4.625;-0.6572;-1.025;-0.06326;-0.08882;4.657;4.6;-1.375;-0.3073;0.005452;-0.1582;-1.315;0.2742;-0.05019;0.03045;-0.2104;0.3614;3.341;4.874;-1.585;0.05487;-0.01317;-0.1293;2.483;5.078;-0.7145;0.2652;0.06605;0.01517;0.8615;-0.2037;-0.8696;-0.2219;0.1215;-0.1184;-15.74;0.02453;-0.7099;-15.62;-4.657;-1.375;-15.6;-3.341;-1.586;-15.73;-0.8615;-0.8677;-15.77;-4.6;0.32;-15.74;-4.874;-0.04384;-15.73;0.2037;0.2215;858.9;-17.58;528.3;970.7;-5.371;-239.3;992.7;-25.88;42.97;577.1;227.1;780.3;965.3;20.51;-263.7;990.7;77.15;89.36;575.2;-102.5;819.3;0.3811;-0.3051;0.6951;-0.3058;-0.7292;-0.2297;-0.5495;-0.4245;-0.5512;-0.07849;-0.3208;-0.5473;-0.4475;-0.6553;-0.3545;-0.02844;-0.6754;-0.09046;-0.1929;-0.2321;-0.4527;0;;
-1.11;-0.03444;0.7094;-0.7094;0.1301;-0.1301;-4.679;-4.623;-0.649;-1.03;-0.06207;-0.07965;4.645;4.589;-1.367;-0.3123;0.009762;-0.1522;-1.296;0.2892;-0.06025;0.02602;-0.2069;0.3645;3.347;4.878;-1.573;0.05305;-0.01956;-0.1277;2.506;5.086;-0.7003;0.2745;0.07354;0.01564;0.8442;-0.2079;-0.872;-0.233;0.1227;-0.1163;-15.74;0.03283;-0.7095;-15.62;-4.645;-1.366;-15.59;-3.347;-1.574;-15.73;-0.8442;-0.8702;-15.76;-4.589;0.3245;-15.74;-4.878;-0.04215;-15.73;0.2079;0.2326;859.9;-16.6;527.3;978;-9.277;-242.7;1003;-38.57;39.06;566.9;222.2;781.3;981;29.79;-266.6;996.1;86.91;96.68;565.9;-115.2;819.8;0.3813;-0.3052;0.695;-0.3057;-0.7292;-0.2297;-0.5498;-0.4242;-0.5512;-0.07819;-0.3207;-0.5473;-0.4475;-0.6553;-0.3545;-0.02838;-0.6754;-0.0904;-0.1931;-0.232;-0.4528;0;;
-1.1;-0.04289;0.7088;-0.7088;0.1331;-0.1331;-4.675;-4.62;-0.6406;-1.035;-0.0607;-0.07031;4.632;4.578;-1.358;-0.3173;0.01416;-0.1458;-1.277;0.3043;-0.07025;0.02156;-0.2034;0.3676;3.354;4.882;-1.561;0.05112;-0.02582;-0.126;2.53;5.095;-0.6862;0.2838;0.08089;0.01589;0.8269;-0.212;-0.8741;-0.2441;0.1239;-0.1141;-15.74;0.04125;-0.7089;-15.62;-4.632;-1.357;-15.58;-3.354;-1.562;-15.73;-0.8269;-0.8724;-15.76;-4.578;0.329;-15.74;-4.882;-0.04036;-15.72;0.212;0.2436;858.4;-18.55;525.4;974.6;-12.21;-240.7;1010;-51.27;36.62;571.3;233.9;787.1;975.6;21.97;-267.1;997.1;80.08;96.68;563.5;-114.3;821.8;0.3814;-0.3052;0.695;-0.3057;-0.7291;-0.2298;-0.55;-0.424;-0.5512;-0.07789;-0.3206;-0.5473;-0.4475;-0.6552;-0.3544;-0.02844;-0.6754;-0.09034;-0.1931;-0.2318;-0.4528;0;;
-1.09;-0.05147;0.7082;-0.7082;0.1359;-0.1359;-4.67;-4.618;-0.6322;-1.039;-0.05913;-0.0608;4.619;4.567;-1.349;-0.3225;0.01866;-0.1392;-1.257;0.3195;-0.08018;0.01706;-0.2;0.3707;3.36;4.887;-1.548;0.04904;-0.03191;-0.124;2.553;5.103;-0.6722;0.2929;0.08804;0.01592;0.8098;-0.2163;-0.8761;-0.2551;0.1251;-0.1119;-15.75;0.04979;-0.7083;-15.63;-4.619;-1.348;-15.58;-3.36;-1.55;-15.73;-0.8098;-0.8743;-15.75;-4.567;0.3336;-15.73;-4.887;-0.03844;-15.72;0.2163;0.2546;859.9;-10.74;526.4;970.7;-22.46;-237.3;1005;-60.06;40.53;576.2;234.9;786.6;980.5;29.79;-252.9;1006;89.84;83.5;569.8;-106;826.2;0.3815;-0.3052;0.695;-0.3056;-0.729;-0.2298;-0.5503;-0.4239;-0.5513;-0.0777;-0.3205;-0.5473;-0.4475;-0.6551;-0.3545;-0.02844;-0.6755;-0.09028;-0.1932;-0.2317;-0.4528;0;;
-1.08;-0.05959;0.708;-0.708;0.1388;-0.1388;-4.664;-4.613;-0.6225;-1.045;-0.05653;-0.04999;4.605;4.554;-1.339;-0.3281;0.02422;-0.1314;-1.236;0.3357;-0.08982;0.01261;-0.197;0.3731;3.366;4.89;-1.536;0.04579;-0.03668;-0.1207;2.577;5.111;-0.6585;0.3005;0.09392;0.01446;0.7933;-0.2208;-0.8772;-0.2657;0.1263;-0.1098;-15.75;0.05787;-0.7082;-15.63;-4.605;-1.337;-15.57;-3.366;-1.538;-15.74;-0.7933;-0.8755;-15.74;-4.554;0.3385;-15.73;-4.89;-0.03547;-15.72;0.2208;0.2653;860.4;-16.6;518.1;974.6;-18.55;-227.5;1011;-49.8;39.06;572.8;227.5;781.3;968.8;22.95;-251.5;998.5;78.61;87.89;561.5;-116.7;820.3;0.3816;-0.3053;0.695;-0.3056;-0.7289;-0.2298;-0.5504;-0.4237;-0.5513;-0.07758;-0.3205;-0.5473;-0.4476;-0.655;-0.3546;-0.02844;-0.6755;-0.09022;-0.1933;-0.2315;-0.4528;0;;
-1.07;-0.06674;0.7082;-0.7082;0.1412;-0.1412;-4.658;-4.606;-0.6121;-1.051;-0.05254;-0.03843;4.591;4.541;-1.329;-0.334;0.03072;-0.1223;-1.216;0.3519;-0.09833;0.008955;-0.1945;0.3742;3.373;4.892;-1.523;0.041;-0.03937;-0.1154;2.598;5.118;-0.6463;0.3054;0.09777;0.01061;0.7786;-0.2253;-0.8769;-0.2749;0.1274;-0.108;-15.75;0.065;-0.7084;-15.64;-4.591;-1.327;-15.57;-3.373;-1.525;-15.74;-0.7786;-0.8751;-15.73;-4.541;0.3437;-15.73;-4.892;-0.03112;-15.72;0.2253;0.2745;866.2;-15.63;508.8;976.6;-12.7;-235.8;999;-51.27;40.53;573.7;236.3;780.8;971.2;25.88;-247.6;1003;77.64;96.68;562;-127.9;819.8;0.3816;-0.3053;0.6951;-0.3055;-0.7288;-0.2298;-0.5506;-0.4237;-0.5513;-0.07746;-0.3204;-0.5473;-0.4476;-0.6548;-0.3547;-0.02851;-0.6755;-0.09015;-0.1933;-0.2315;-0.4528;0;;
-1.06;-0.07278;0.7085;-0.7085;0.1428;-0.1428;-4.651;-4.598;-0.602;-1.058;-0.04699;-0.02672;4.579;4.526;-1.32;-0.3401;0.03792;-0.1123;-1.196;0.3667;-0.1052;0.00669;-0.1922;0.3738;3.38;4.893;-1.511;0.03441;-0.03971;-0.1078;2.617;5.123;-0.6366;0.3067;0.09935;0.003784;0.7665;-0.23;-0.8745;-0.282;0.1286;-0.1066;-15.75;0.07101;-0.7086;-15.65;-4.579;-1.317;-15.57;-3.38;-1.513;-15.74;-0.7665;-0.8728;-15.72;-4.526;0.349;-15.72;-4.893;-0.02519;-15.72;0.23;0.2816;864.7;-15.14;516.1;970.7;-17.58;-236.3;1000;-43.95;43.46;568.4;235.4;781.3;970.7;21.48;-238.3;999;79.59;97.66;565.9;-119.6;816.9;0.3817;-0.3053;0.6951;-0.3054;-0.7287;-0.2297;-0.5507;-0.4236;-0.5512;-0.0774;-0.3203;-0.5473;-0.4477;-0.6547;-0.3548;-0.02857;-0.6755;-0.09015;-0.1933;-0.2314;-0.4529;0;;
-1.05;-0.07789;0.7085;-0.7085;0.1432;-0.1432;-4.645;-4.589;-0.593;-1.064;-0.03987;-0.01537;4.567;4.513;-1.311;-0.3463;0.04548;-0.1014;-1.178;0.3796;-0.1104;0.005967;-0.19;0.3717;3.387;4.892;-1.5;0.02604;-0.03794;-0.09773;2.632;5.127;-0.6302;0.3041;0.09895;-0.006033;0.7575;-0.2347;-0.8695;-0.2869;0.1299;-0.1057;-15.75;0.07612;-0.7087;-15.66;-4.567;-1.307;-15.57;-3.387;-1.502;-15.74;-0.7575;-0.8678;-15.71;-4.512;0.3543;-15.71;-4.892;-0.01767;-15.72;0.2347;0.2865;863.8;-14.65;510.7;972.2;-14.65;-244.6;1003;-42.97;36.62;574.7;236.3;780.3;963.9;19.53;-251.5;994.6;74.22;84.96;559.1;-123.5;813.5;0.3817;-0.3053;0.6951;-0.3053;-0.7287;-0.2296;-0.5508;-0.4236;-0.5511;-0.07734;-0.3203;-0.5473;-0.4478;-0.6546;-0.3549;-0.02863;-0.6754;-0.09028;-0.1933;-0.2313;-0.4528;0;;
-1.04;-0.08262;0.7082;-0.7082;0.1421;-0.1421;-4.639;-4.581;-0.5852;-1.07;-0.03102;-0.00471;4.557;4.499;-1.303;-0.3527;0.05328;-0.08974;-1.161;0.3903;-0.1143;0.006302;-0.188;0.3682;3.393;4.89;-1.489;0.01618;-0.03462;-0.08584;2.645;5.129;-0.6278;0.2982;0.09727;-0.01821;0.7517;-0.2394;-0.8615;-0.2897;0.1314;-0.1051;-15.75;0.08087;-0.7084;-15.66;-4.557;-1.298;-15.58;-3.393;-1.491;-15.74;-0.7517;-0.8598;-15.7;-4.499;0.3597;-15.7;-4.89;-0.008833;-15.71;0.2394;0.2893;860.8;-16.11;522.9;973.1;-10.74;-249.5;996.6;-41.99;36.62;576.7;231.4;786.6;963.4;19.53;-251.5;995.6;81.05;86.91;564.9;-118.7;818.4;0.3817;-0.3053;0.6951;-0.3052;-0.7287;-0.2296;-0.5508;-0.4236;-0.5511;-0.07733;-0.3202;-0.5473;-0.4478;-0.6544;-0.3551;-0.02875;-0.6753;-0.09046;-0.1933;-0.2313;-0.4528;0;;
-1.03;-0.08758;0.7075;-0.7075;0.1392;-0.1392;-4.635;-4.573;-0.5786;-1.075;-0.02012;0.005167;4.548;4.487;-1.295;-0.359;0.06143;-0.07714;-1.145;0.3989;-0.1177;0.006726;-0.1865;0.3639;3.4;4.886;-1.48;0.005408;-0.03036;-0.07292;2.655;5.13;-0.6295;0.2897;0.09495;-0.03179;0.7488;-0.2442;-0.8503;-0.2908;0.1331;-0.1049;-15.75;0.08586;-0.7077;-15.67;-4.548;-1.29;-15.58;-3.4;-1.482;-15.74;-0.7488;-0.8485;-15.69;-4.487;0.3651;-15.68;-4.886;8.25E-04;-15.71;0.2442;0.2904;860.4;-18.07;514.6;973.6;-10.25;-251.5;999;-38.09;45.9;581.5;239.3;787.1;963.9;20.51;-263.7;991.2;72.27;86.91;563.5;-119.6;818.8;0.3817;-0.3053;0.6951;-0.3051;-0.7287;-0.2296;-0.5509;-0.4236;-0.551;-0.0774;-0.3201;-0.5473;-0.448;-0.6543;-0.3551;-0.02893;-0.6752;-0.09058;-0.1932;-0.2313;-0.4528;0;;
